País;Código ISO país;Oficina de registro;Grupo edad;Edad (años);Área Conocimiento;Sub Area Conocimiento;Nivel Académico;Estado civil;Género;Etnia de la persona;Estatura (CM);Localización;Cantidad de personas
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;21;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);4
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;25;NINGUNA;NINGUNA;NO INDICA;CASADO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;27;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ECONOMÍA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;35;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ECONOMÍA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;36;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA INDUSTRIAL Y AFINES;POSTGRADO - MAESTRIA;SOLTERO;FEMENINO;NINGUNA;169;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;42;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA INDUSTRIAL Y AFINES;NO INDICA;CASADO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO JOVEN;20;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;170;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;31;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ADMINISTRACIÓN;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);6
ALEMANIA;DEU;C. FRANKFURT;ADULTO;34;MATEMÁTICAS Y CIENCIAS NATURALES;OTROS PROGRAMAS DE CIENCIAS NATURALES;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;37;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA MECÁNICA Y AFINES;NO INDICA;CASADO;MASCULINO;NINGUNA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;58;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA INDUSTRIAL Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;28;NO INDICA;NO INDICA;NO INDICA;SOLTERO;FEMENINO;SIN ETNIA REGISTRADA;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;53;CIENCIAS DE LA SALUD;ENFERMERÍA;NO INDICA;DESCONOCIDO;FEMENINO;SIN ETNIA REGISTRADA;161;(51.165691, 10.451526);1
ALEMANIA;DEU;C. BERLIN;ADULTO;40;INGENIERÍA, ARQUITECTURA Y AFINES;INGENIERÍA CIVIL Y AFINES;NO INDICA;DESCONOCIDO;FEMENINO;OTRO;NO INDICA;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;38;NINGUNA;NINGUNA;PREGRADO - TÉCNICO PROFESIONAL;SOLTERO;MASCULINO;OTRO;169;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;INFANTE;9;NO INDICA;NO INDICA;NINGUNO;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;72;(51.165691, 10.451526);1
ALEMANIA;DEU;C. FRANKFURT;ADULTO;47;ECONOMÍA, ADMINISTRACIÓN CONTADURIA Y AFINES;ADMINISTRACIÓN;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;NO INDICA;(51.165691, 10.451526);1
